tanggal,wilayah,inflasi
2015-01-01,INDONESIA,-0.24
2015-02-01,INDONESIA,-0.36
2015-03-01,INDONESIA,0.17
2015-04-01,INDONESIA,0.36
2015-05-01,INDONESIA,0.5
2015-06-01,INDONESIA,0.54
2015-07-01,INDONESIA,0.93
2015-08-01,INDONESIA,0.39
2015-09-01,INDONESIA,-0.05
2015-10-01,INDONESIA,-0.08
2015-11-01,INDONESIA,0.21
2015-12-01,INDONESIA,0.96
2016-01-01,INDONESIA,0.51
2016-02-01,INDONESIA,-0.09
2016-03-01,INDONESIA,0.19
2016-04-01,INDONESIA,-0.45
2016-05-01,INDONESIA,0.24
2016-06-01,INDONESIA,0.66
2016-07-01,INDONESIA,0.69
2016-08-01,INDONESIA,-0.02
2016-09-01,INDONESIA,0.22
2016-10-01,INDONESIA,0.14
2016-11-01,INDONESIA,0.47
2016-12-01,INDONESIA,0.42
2017-01-01,INDONESIA,0.97
2017-02-01,INDONESIA,0.23
2017-03-01,INDONESIA,-0.02
2017-04-01,INDONESIA,0.09
2017-05-01,INDONESIA,0.39
2017-06-01,INDONESIA,0.69
2017-07-01,INDONESIA,0.22
2017-08-01,INDONESIA,-0.07
2017-09-01,INDONESIA,0.13
2017-10-01,INDONESIA,0.01
2017-11-01,INDONESIA,0.2
2017-12-01,INDONESIA,0.71
2018-01-01,INDONESIA,0.62
2018-02-01,INDONESIA,0.17
2018-03-01,INDONESIA,0.2
2018-04-01,INDONESIA,0.1
2018-05-01,INDONESIA,0.21
2018-06-01,INDONESIA,0.59
2018-07-01,INDONESIA,0.28
2018-08-01,INDONESIA,-0.05
2018-09-01,INDONESIA,-0.18
2018-10-01,INDONESIA,0.28
2018-11-01,INDONESIA,0.27
2018-12-01,INDONESIA,0.62
2019-01-01,INDONESIA,0.32
2019-02-01,INDONESIA,-0.08
2019-03-01,INDONESIA,0.11
2019-04-01,INDONESIA,0.44
2019-05-01,INDONESIA,0.68
2019-06-01,INDONESIA,0.55
2019-07-01,INDONESIA,0.31
2019-08-01,INDONESIA,0.12
2019-09-01,INDONESIA,-0.27
2019-10-01,INDONESIA,0.02
2019-11-01,INDONESIA,0.14
2019-12-01,INDONESIA,0.34
2020-01-01,INDONESIA,0.39
2020-02-01,INDONESIA,0.28
2020-03-01,INDONESIA,0.1
2020-04-01,INDONESIA,0.08
2020-05-01,INDONESIA,0.07
2020-06-01,INDONESIA,0.18
2020-07-01,INDONESIA,-0.1
2020-08-01,INDONESIA,-0.05
2020-09-01,INDONESIA,-0.05
2020-10-01,INDONESIA,0.07
2020-11-01,INDONESIA,0.28
2020-12-01,INDONESIA,0.45
2021-01-01,INDONESIA,0.26
2021-02-01,INDONESIA,0.1
2021-03-01,INDONESIA,0.08
2021-04-01,INDONESIA,0.13
2021-05-01,INDONESIA,0.32
2021-06-01,INDONESIA,-0.16
2021-07-01,INDONESIA,0.08
2021-08-01,INDONESIA,0.03
2021-09-01,INDONESIA,-0.04
2021-10-01,INDONESIA,0.12
2021-11-01,INDONESIA,0.37
2021-12-01,INDONESIA,0.57
2022-01-01,INDONESIA,0.56
2022-02-01,INDONESIA,-0.02
2022-03-01,INDONESIA,0.66
2022-04-01,INDONESIA,0.95
2022-05-01,INDONESIA,0.4
2022-06-01,INDONESIA,0.61
2022-07-01,INDONESIA,0.64
2022-08-01,INDONESIA,-0.21
2022-09-01,INDONESIA,1.17
2022-10-01,INDONESIA,-0.11
2022-11-01,INDONESIA,0.09
2022-12-01,INDONESIA,0.66
2023-01-01,INDONESIA,0.34
2023-02-01,INDONESIA,0.16
2023-03-01,INDONESIA,0.18
2023-04-01,INDONESIA,0.33
2023-05-01,INDONESIA,0.09
2023-06-01,INDONESIA,0.14
2023-07-01,INDONESIA,0.21
2023-08-01,INDONESIA,-0.02
2023-09-01,INDONESIA,0.19
2023-10-01,INDONESIA,0.17
2023-11-01,INDONESIA,0.38
2023-12-01,INDONESIA,0.41
2024-01-01,INDONESIA,0.04
2024-02-01,INDONESIA,0.37
2024-03-01,INDONESIA,0.52
2024-04-01,INDONESIA,0.25
2024-05-01,INDONESIA,-0.03
2024-06-01,INDONESIA,-0.08
2024-07-01,INDONESIA,-0.18
2024-08-01,INDONESIA,-0.03
2024-09-01,INDONESIA,-0.12
2024-10-01,INDONESIA,0.08
2024-11-01,INDONESIA,0.3
2024-12-01,INDONESIA,0.44
2025-01-01,INDONESIA,-0.76
2025-02-01,INDONESIA,-0.48
2025-03-01,INDONESIA,1.65
2025-04-01,INDONESIA,1.17
2025-05-01,INDONESIA,-0.37
2025-06-01,INDONESIA,0.19
2025-07-01,INDONESIA,0.3
2025-08-01,INDONESIA,-0.08
2025-09-01,INDONESIA,0.21
2025-10-01,INDONESIA,0.28
2025-11-01,INDONESIA,0.17
2025-12-01,INDONESIA,0.64
