tanggal,actual,forecast,error,abs_error,squared_error
2025-01-01,-0.51125,0.010851626684598215,-0.5221016266845981,0.5221016266845981,0.27259010858670346
2025-02-01,-0.5725,0.10044391093133204,-0.672943910931332,0.672943910931332,0.4528535072595565
2025-03-01,1.52625,0.5196607592870212,1.0065892407129788,1.0065892407129788,1.0132218995191313
2025-04-01,0.8925000000000001,0.5307591622571957,0.3617408377428044,0.3617408377428044,0.13085643369086594
2025-05-01,-0.42125,0.3172982584092484,-0.7385482584092484,0.7385482584092484,0.5454535299993339
2025-06-01,0.45375,0.21031047679312592,0.24343952320687406,0.24343952320687406,0.059262801459190176
2025-07-01,0.25125,0.3242211634230589,-0.07297116342305893,0.07297116342305893,0.005324790691314773
2025-08-01,-0.09125,0.054882160046655165,-0.14613216004665516,0.14613216004665516,0.02135460819990124
2025-09-01,0.26125,0.3806985219850004,-0.11944852198500044,0.11944852198500044,0.014267949404401134
2025-10-01,0.36375,0.26066422836864617,0.10308577163135385,0.10308577163135385,0.010626676312831639
2025-11-01,0.14500000000000002,0.4771543491438069,-0.33215434914380687,0.33215434914380687,0.11032651165514595
2025-12-01,0.73125,0.5936154056386085,0.13763459436139147,0.13763459436139147,0.018943281565024773
